time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-01T05:46:53.021Z,38.9633,26.0739,10,4.8,mb,,34,0.656,0.81,us,us6000ddkk,2021-02-01T06:28:47.250Z,"15 km SW of Polichnítos, Greece",earthquake,4.8,1.9,0.135,17,reviewed,us,us
2021-02-01T05:31:49.501Z,4.1669,126.6027,52.26,4.5,mb,,117,3.058,0.5,us,us6000ddkj,2021-02-01T05:55:05.040Z,"186 km SE of Sarangani, Philippines",earthquake,4.1,8.2,0.131,17,reviewed,us,us
2021-02-01T05:20:05.048Z,-59.1473,-26.0908,119.68,5,mb,,86,7.511,0.79,us,us6000ddkg,2021-02-01T05:37:46.040Z,"South Sandwich Islands region",earthquake,10.1,5.7,0.067,70,reviewed,us,us
2021-01-31T23:20:48.932Z,-31.7572,-68.9636,10,4.7,mwr,,39,0.318,0.88,us,us6000ddi8,2021-02-01T05:45:48.213Z,"31 km SW of Villa Basilio Nievas, Argentina",earthquake,2,1.7,0.038,68,reviewed,us,us
2021-01-31T22:06:01.148Z,28.1914,57.2543,10,4.9,mb,,71,3.366,0.53,us,us6000ddhs,2021-01-31T23:41:57.040Z,"118 km N of Mīnāb, Iran",earthquake,8.7,1.9,0.063,78,reviewed,us,us
2021-01-31T19:05:15.024Z,2.6443,-59.6288,9.68,5.7,mww,,28,0.926,0.61,us,us6000ddge,2021-02-01T06:22:55.812Z,"83 km SSE of Lethem, Guyana",earthquake,7.6,4.5,0.089,12,reviewed,us,us
2021-01-31T16:04:33.395Z,28.1114,56.7093,10,4.9,mww,,72,3.185,0.76,us,us6000ddfd,2021-01-31T21:59:48.111Z,"110 km NNE of Bandar Abbas, Iran",earthquake,8.6,1.9,0.093,11,reviewed,us,us
2021-01-31T15:51:49.270Z,22.1809,143.8612,128.97,4.9,mb,,102,5.125,0.65,us,us6000ddfb,2021-01-31T16:21:10.040Z,"Volcano Islands, Japan region",earthquake,9.8,6.8,0.036,240,reviewed,us,us
2021-01-31T09:44:41.806Z,-5.4951,133.8417,10,5.1,mww,,55,3.011,0.99,us,us6000dddu,2021-01-31T10:02:41.040Z,"121 km E of Tual, Indonesia",earthquake,6.3,1.9,0.098,10,reviewed,us,us
2021-01-31T09:28:51.342Z,-5.6403,133.6777,10,4.9,mb,,106,3.055,0.76,us,us6000dddp,2021-01-31T09:57:49.624Z,"102 km E of Tual, Indonesia",earthquake,6.1,1.8,0.169,11,reviewed,us,us
2021-01-31T05:11:02.963Z,21.7656,145.4551,10,5,mb,,75,6.085,0.63,us,us6000ddct,2021-02-01T05:21:11.614Z,"Mariana Islands region",earthquake,8,1.6,0.042,179,reviewed,us,us
2021-01-31T03:59:26.683Z,-24.2289,-66.9403,168.65,5.1,mb,,29,2.852,0.9,us,us6000ddcd,2021-01-31T23:27:59.070Z,"63 km W of San Antonio de los Cobres, Argentina",earthquake,8.1,6.7,0.025,515,reviewed,us,us
2021-01-31T01:33:03.884Z,-22.9561,-179.523,530.6,4.6,mb,,99,6.424,0.73,us,us6000ddbs,2021-01-31T02:04:47.040Z,"south of the Fiji Islands",earthquake,15.5,5.2,0.141,15,reviewed,us,us
2021-01-31T00:34:14.062Z,9.1132,126.468,10,4.9,mb,,116,2.212,0.63,us,us6000ddbf,2021-01-31T00:52:28.040Z,"26 km ENE of La Paz, Philippines",earthquake,5.5,1.9,0.072,60,reviewed,us,us
2021-01-30T15:36:50.468Z,-62.2162,-57.5546,10,5,mb,,96,1.213,1.12,us,us6000dd9d,2021-01-30T15:53:25.040Z,"South Shetland Islands",earthquake,9.3,1.9,0.088,41,reviewed,us,us
2021-01-30T14:19:28.576Z,47.2241,152.5273,112.18,4.6,mb,,170,6.674,0.9,us,us6000dd90,2021-01-30T15:02:25.040Z,"Kuril Islands",earthquake,12.5,8.9,0.054,103,reviewed,us,us
2021-01-30T13:29:25.576Z,-5.7927,148.4892,129.72,4.5,mb,,65,3.889,0.92,us,us6000dd8q,2021-01-30T15:10:33.040Z,"110 km NE of Finschhafen, Papua New Guinea",earthquake,9.8,8.5,0.118,21,reviewed,us,us
2021-01-30T13:24:59.163Z,-19.9645,-70.3439,60.95,5.2,mww,,136,0.617,0.82,us,us6000dd81,2021-01-31T17:10:46.811Z,"34 km NW of Iquique, Chile",earthquake,4.7,3.5,0.071,19,reviewed,us,us
2021-01-30T10:52:32.139Z,-4.4977,102.5621,57.84,5.4,mb,,67,0.415,0.85,us,us6000dd7l,2021-01-31T10:55:36.767Z,"83 km SSE of Bengkulu, Indonesia",earthquake,7.1,6.1,0.053,124,reviewed,us,us
2021-01-30T09:50:05.806Z,1.5434,121.9811,483.48,4.5,mb,,80,1.273,0.96,us,us6000dd7d,2021-01-30T10:05:58.040Z,"163 km NW of Gorontalo, Indonesia",earthquake,8.9,8.3,0.106,26,reviewed,us,us
2021-01-30T08:35:16.976Z,54.2063,169.2715,19.84,5.3,mww,,81,3.243,0.81,us,us6000dd74,2021-01-30T18:34:06.040Z,"Komandorskiye Ostrova, Russia region",earthquake,8.3,4.4,0.041,56,reviewed,us,us
2021-01-30T08:22:05.719Z,-18.2509,-69.7706,115.85,4.8,mb,,76,0.555,0.66,us,us6000dd72,2021-01-31T01:47:50.530Z,"55 km SE of Calana, Peru",earthquake,7.1,7.2,0.084,43,reviewed,us,us
2021-01-30T05:35:28.317Z,12.7207,-88.0212,68.47,5,mb,,125,0.976,0.74,us,us6000dd68,2021-01-30T06:07:49.025Z,"off the coast of Central America",earthquake,6.7,6.1,0.035,254,reviewed,us,us
2021-01-30T05:17:24.647Z,-3.0919,129.3568,10.06,5.3,mb,,57,2.893,0.66,us,us6000dd64,2021-01-30T05:36:35.040Z,"55 km ENE of Amahai, Indonesia",earthquake,6.8,4.2,0.068,73,reviewed,us,us
2021-01-30T04:19:24.322Z,-62.119,-56.4648,10,5,mb,,49,1.038,0.88,us,us6000dd5u,2021-01-30T04:37:24.040Z,"South Shetland Islands",earthquake,5.3,1.9,0.073,60,reviewed,us,us
2021-01-29T22:33:50.047Z,14.1561,145.1772,109.31,4.6,mb,,66,0.638,0.64,us,us6000dd3m,2021-01-30T23:41:22.076Z,"75 km NNE of Yigo Village, Guam",earthquake,7.3,5.8,0.07,61,reviewed,us,us
2021-01-29T19:47:55.905Z,-13.963,121.8415,10,5.6,mww,,25,4.808,1.08,us,us6000dd2i,2021-01-30T19:51:15.057Z,"northwest of Australia",earthquake,5.7,1.7,0.06,27,reviewed,us,us
2021-01-29T19:31:28.876Z,2.6278,126.7698,18.55,4.6,mb,,105,1.937,0.83,us,us6000dd2d,2021-01-29T21:46:50.040Z,"170 km NW of Tobelo, Indonesia",earthquake,7.9,5.1,0.107,28,reviewed,us,us
2021-01-29T19:23:38.515Z,7.1192,-72.0935,20.96,4.7,mb,,110,1.565,0.73,us,us6000dd2a,2021-01-31T19:25:30.631Z,"12 km N of Cubará, Colombia",earthquake,5.3,6,0.079,51,reviewed,us,us
2021-01-29T14:10:39.834Z,-61.7259,-55.3187,10,5.2,mb,,54,1.66,0.71,us,us6000dcxt,2021-01-29T14:29:46.040Z,"South Shetland Islands",earthquake,6.1,1.6,0.07,69,reviewed,us,us
2021-01-29T13:54:40.608Z,-61.8129,-55.4615,10,4.8,mb,,64,1.568,1.13,us,us6000dcxq,2021-01-29T14:17:58.040Z,"South Shetland Islands",earthquake,8,1.9,0.103,29,reviewed,us,us
2021-01-29T13:23:26.183Z,8.2289,-82.9922,10,4.7,mb,,150,0.371,0.68,us,us6000dcxa,2021-01-29T13:48:05.040Z,"15 km WSW of Puerto Armuelles, Panama",earthquake,3.5,1.5,0.118,22,reviewed,us,us
2021-01-29T13:14:44.904Z,8.2765,-82.9539,10,5.5,mww,,76,0.385,0.74,us,us6000dcx7,2021-01-30T13:19:00.023Z,"10 km W of Puerto Armuelles, Panama",earthquake,5.1,1.8,0.043,51,reviewed,us,us
2021-01-29T12:41:39.155Z,8.1941,-82.9664,10,5.6,mww,,82,0.41,0.74,us,us6000dcx1,2021-01-30T12:45:00.915Z,"14 km SW of Puerto Armuelles, Panama",earthquake,5,1.8,0.068,21,reviewed,us,us
2021-01-29T11:23:28.861Z,8.2438,-83.0096,11.31,4.9,mb,,134,0.348,0.73,us,us6000dcwl,2021-01-29T13:03:31.284Z,"16 km WSW of Puerto Armuelles, Panama",earthquake,6.3,4.9,0.037,231,reviewed,us,us
2021-01-29T10:40:57.314Z,-31.2597,-179.2701,200.05,4.7,mb,,82,2.319,0.69,us,us6000dcwh,2021-01-29T11:26:47.040Z,"Kermadec Islands region",earthquake,12.6,7.5,0.08,48,reviewed,us,us
2021-01-29T05:52:29.281Z,-8.4941,159.0781,127.3,4.9,mb,,85,1.272,0.73,us,us6000dctr,2021-01-29T06:10:41.040Z,"68 km SW of Buala, Solomon Islands",earthquake,10.3,7.4,0.065,74,reviewed,us,us
2021-01-29T05:12:20.374Z,13.5212,120.5455,20.51,4.9,mww,,60,9.727,0.91,us,us6000dctk,2021-01-29T11:55:55.627Z,"14 km ENE of Harrison, Philippines",earthquake,9.2,5.6,0.093,11,reviewed,us,us
2021-01-28T19:24:27.585Z,40.1289,141.6107,74.98,4.6,mb,,134,0.78,0.94,us,us6000dcqf,2021-01-28T21:14:01.040Z,"29 km ESE of Ichinohe, Japan",earthquake,8,5.2,0.067,66,reviewed,us,us
2021-01-28T18:51:50.577Z,44.234,147.5434,66.26,4.6,mb,,135,3.563,0.78,us,us6000dcq6,2021-01-28T19:09:37.040Z,"81 km NE of Shikotan, Russia",earthquake,4.7,7.3,0.067,66,reviewed,us,us
2021-01-28T18:24:03.192Z,36.4602,142.188,35,4.6,mb,,249,3.206,1.08,us,us6000dcpu,2021-01-28T19:12:14.040Z,"133 km ESE of Iwaki, Japan",earthquake,11.2,2,0.272,6,reviewed,us,us
2021-01-28T17:06:26.932Z,41.249,49.9627,35,4.6,mb,,85,4.118,0.99,us,us6000dcpj,2021-01-29T14:34:46.929Z,"63 km NE of Şuraabad, Azerbaijan",earthquake,8,2,0.085,41,reviewed,us,us
2021-01-28T10:38:45.690Z,13.9473,-91.8831,46.86,4.8,mb,,128,0.602,0.76,us,us6000dcme,2021-01-28T10:53:47.040Z,"38 km S of Champerico, Guatemala",earthquake,7.9,7.7,0.032,312,reviewed,us,us
2021-01-28T07:57:12.495Z,4.9125,127.4813,122.66,4.8,mb,,81,2.858,0.63,us,us6000dclc,2021-01-28T08:25:08.040Z,"215 km SE of Pondaguitan, Philippines",earthquake,8.1,7.4,0.055,105,reviewed,us,us
2021-01-28T07:29:33.011Z,22.5735,121.0345,10,4.8,mb,,82,0.246,0.64,us,us6000dclb,2021-01-28T08:13:27.040Z,"61 km E of Donggang, Taiwan",earthquake,5.7,1.9,0.072,59,reviewed,us,us
2021-01-28T06:03:22.557Z,-6.373,154.0443,10,5,mb,,45,13.797,0.63,us,us6000dckn,2021-01-28T06:50:47.040Z,"159 km W of Panguna, Papua New Guinea",earthquake,12.3,1.8,0.074,59,reviewed,us,us
2021-01-27T16:46:16.399Z,-6.447,129.9282,155.63,4.6,mb,,47,2.043,0.67,us,us7000d3rp,2021-01-27T17:01:56.040Z,"Banda Sea",earthquake,6.9,7.3,0.088,42,reviewed,us,us
2021-01-27T16:35:32.195Z,5.3689,-82.4601,10,4.7,mb,,150,3.14,0.58,us,us7000d3rn,2021-01-27T22:32:53.040Z,"283 km SW of Arenas, Panama",earthquake,9.2,1.8,0.073,57,reviewed,us,us
2021-01-27T16:25:14.358Z,40.5053,-127.0326,2.2,4.6,mwr,,178,2.055,0.57,us,us7000d3rk,2021-01-31T10:04:14.543Z,"234 km W of Ferndale, California",earthquake,6.4,4.1,0.04,59,reviewed,us,us
2021-01-27T14:27:38.822Z,42.7779,146.3204,40.15,4.6,mb,,54,2.463,0.85,us,us7000d3q6,2021-01-29T14:44:10.040Z,"85 km SE of Nemuro, Japan",earthquake,8.5,7.2,0.076,54,reviewed,us,us
2021-01-27T12:45:30.286Z,-3.0081,138.5982,57.6,4.9,mb,,57,6.341,0.66,us,us7000d3nu,2021-01-27T13:04:49.040Z,"230 km WSW of Abepura, Indonesia",earthquake,7.6,7.5,0.087,41,reviewed,us,us
2021-01-27T10:40:26.412Z,-5.1515,103.6685,49.15,4.8,mb,,40,1.059,0.99,us,us7000d3n4,2021-01-27T11:00:28.040Z,"southern Sumatra, Indonesia",earthquake,6.7,7.3,0.078,51,reviewed,us,us
2021-01-27T09:10:39.198Z,-20.3181,-178.1238,571.54,5,mb,,135,4.43,0.68,us,us7000d3m9,2021-01-27T09:25:59.040Z,"Fiji region",earthquake,14.2,9.9,0.089,40,reviewed,us,us
2021-01-27T07:57:33.678Z,4.4125,-75.8607,161.62,4.9,mb,,87,1.593,1.12,us,us7000d3m3,2021-01-28T01:50:11.732Z,"9 km WSW of La Tebaida, Colombia",earthquake,5.7,5,0.028,418,reviewed,us,us
2021-01-27T05:06:53.189Z,42.7181,141.9689,115.72,5.2,mww,,25,1.126,0.97,us,us7000d3l5,2021-01-28T00:48:12.349Z,"28 km ESE of Chitose, Japan",earthquake,6,4.5,0.093,11,reviewed,us,us
2021-01-27T04:19:57.059Z,0.0112,123.4652,140.21,5,mb,,34,1.255,0.96,us,us7000d3kp,2021-01-27T23:18:16.040Z,"73 km SE of Gorontalo, Indonesia",earthquake,7,5,0.063,81,reviewed,us,us
2021-01-27T04:08:27.085Z,-61.8745,-55.3996,10,5,mb,,43,1.579,0.76,us,us7000d3nd,2021-01-27T23:07:10.040Z,"South Shetland Islands",earthquake,7.8,1.8,0.113,25,reviewed,us,us
2021-01-27T03:13:23.013Z,-10.5051,123.7682,10,4.9,mb,,64,0.892,0.62,us,us7000d3kg,2021-01-27T23:40:36.040Z,"40 km SSE of Kupang, Indonesia",earthquake,5.4,1.9,0.117,23,reviewed,us,us
2021-01-26T23:37:58.059Z,-28.7837,-68.9078,106.13,4.5,mwr,,62,1.576,1,us,us7000d3jg,2021-01-26T23:56:32.040Z,"68 km W of Vinchina, Argentina",earthquake,6.7,6.8,0.062,25,reviewed,us,us
2021-01-26T15:42:21.236Z,-6.8746,155.8101,86.41,4.9,mb,,77,4.823,0.47,us,us7000d3gs,2021-01-26T16:35:35.040Z,"71 km SSE of Panguna, Papua New Guinea",earthquake,9.4,8.4,0.084,44,reviewed,us,us
2021-01-26T15:28:41.243Z,18.4058,145.5939,184.45,4.5,mb,,83,3.159,0.74,us,us7000d3gw,2021-01-26T16:28:33.040Z,"Pagan region, Northern Mariana Islands",earthquake,11.1,7.6,0.058,86,reviewed,us,us
2021-01-26T14:56:59.874Z,46.9229,152.4187,76.54,4.6,mb,,80,6.613,0.52,us,us7000d3g3,2021-01-26T15:51:44.040Z,"Kuril Islands",earthquake,7.6,6.5,0.084,42,reviewed,us,us
2021-01-26T14:32:42.636Z,41.5272,19.4653,5.28,4.5,mb,,40,0.914,0.84,us,us7000d3f3,2021-01-26T16:40:56.614Z,"19 km WSW of Mamurras, Albania",earthquake,5.2,5,0.131,19,reviewed,us,us
2021-01-26T14:28:40.803Z,34.2899,142.2572,10,4.5,mb,,136,2.349,0.55,us,us7000d3f4,2021-01-26T15:18:22.040Z,"201 km ESE of Ōhara, Japan",earthquake,5.5,1.9,0.204,7,reviewed,us,us
2021-01-26T13:50:09.917Z,-25.8663,-71.0164,30.16,4.6,mwr,,109,0.469,0.69,us,us7000d3ev,2021-01-26T15:10:37.040Z,"73 km SW of Taltal, Chile",earthquake,5.2,5.2,,,reviewed,us,guc
2021-01-26T13:05:42.567Z,-19.9803,-178.171,578.82,4.6,mb,,113,4.21,0.49,us,us7000d3eq,2021-01-26T14:41:39.040Z,"Fiji region",earthquake,12.7,7.9,0.048,128,reviewed,us,us
2021-01-26T11:17:40.697Z,36.1658,41.0703,10,4.9,mb,,85,1.169,0.7,us,us7000d3ec,2021-01-28T03:40:58.942Z,"47 km SE of Al Ḩasakah, Syria",earthquake,5.5,1.9,0.085,43,reviewed,us,us
2021-01-26T07:59:27.316Z,-23.9749,-179.1857,528,5,mb,,120,5.367,1.04,us,us7000d3dl,2021-01-26T08:13:21.040Z,"south of the Fiji Islands",earthquake,14,12.1,0.103,30,reviewed,us,us
2021-01-26T05:08:48.712Z,-11.2648,165.2696,10,5.1,mb,,63,4.563,0.91,us,us7000d3c9,2021-01-26T05:35:34.040Z,"Santa Cruz Islands",earthquake,8.7,1.8,0.075,58,reviewed,us,us
